"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 17:15:49 IST 2024","Mon Jul 22 17:16:53 IST 2024","64518","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_001_goToCustomer","T_001_Login the page and go To Report Scrren ","Test Description : Login the page and go To Report Scrren "
"passed","Mon Jul 22 17:16:53 IST 2024","Mon Jul 22 17:17:57 IST 2024","63492","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_002_verifyReportCategories","T_002_verify Report Categories  ","Test Description : verify Report Categories"
"passed","Mon Jul 22 17:21:28 IST 2024","Mon Jul 22 17:25:08 IST 2024","220077","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_004_enterTHeCustomerSearch","T_004_enter The Customer Search ","Test Description : enter The Customer Search"
"passed","Mon Jul 22 17:17:57 IST 2024","Mon Jul 22 17:21:28 IST 2024","210840","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_003_clickOnRunReport","T_003_click  On Run Report ","Test Description : click  On Run Report"
