"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 17:32:07 IST 2024","Mon Jul 22 17:35:38 IST 2024","210676","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_003_clickOnRunReport","T_003_click  On Run Report ","Test Description : click  On Run Report"
"passed","Mon Jul 22 17:35:38 IST 2024","Mon Jul 22 17:39:18 IST 2024","220122","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_004_enterTHeCustomerSearch","T_004_enter The Customer Search ","Test Description : enter The Customer Search"
"passed","Mon Jul 22 17:31:04 IST 2024","Mon Jul 22 17:32:07 IST 2024","63002","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_002_verifyReportCategories","T_002_verify Report Categories  ","Test Description : verify Report Categories"
"passed","Mon Jul 22 17:30:02 IST 2024","Mon Jul 22 17:31:04 IST 2024","62093","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_001_goToCustomer","T_001_Login the page and go To Report Scrren ","Test Description : Login the page and go To Report Scrren "
