"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 16:18:42 IST 2024","Mon Jul 22 16:20:11 IST 2024","89625","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_003_clickOnRunReport","T_003_click  On Run Report ","Test Description : click  On Run Report"
"passed","Mon Jul 22 16:20:11 IST 2024","Mon Jul 22 16:22:15 IST 2024","123607","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_004_enterTHeCustomerSearch","T_004_enter The Customer Search ","Test Description : enter The Customer Search"
"passed","Mon Jul 22 16:16:34 IST 2024","Mon Jul 22 16:17:36 IST 2024","62225","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_001_goToCustomer","T_001_Login the page and go To Report Scrren ","Test Description : Login the page and go To Report Scrren "
"passed","Mon Jul 22 16:17:37 IST 2024","Mon Jul 22 16:18:41 IST 2024","64603","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_002_verifyReportCategories","T_002_verify Report Categories  ","Test Description : verify Report Categories"
