"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 16:36:46 IST 2024","Mon Jul 22 16:37:50 IST 2024","64651","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_001_goToCustomer","T_001_Login the page and go To Report Scrren ","Test Description : Login the page and go To Report Scrren "
"passed","Mon Jul 22 16:37:51 IST 2024","Mon Jul 22 16:38:53 IST 2024","61914","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_002_verifyReportCategories","T_002_verify Report Categories  ","Test Description : verify Report Categories"
"passed","Mon Jul 22 16:40:23 IST 2024","Mon Jul 22 16:42:24 IST 2024","121741","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_004_enterTHeCustomerSearch","T_004_enter The Customer Search ","Test Description : enter The Customer Search"
"passed","Mon Jul 22 16:38:53 IST 2024","Mon Jul 22 16:40:22 IST 2024","89536","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_003_clickOnRunReport","T_003_click  On Run Report ","Test Description : click  On Run Report"
