"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 16:03:16 IST 2024","Mon Jul 22 16:04:21 IST 2024","64900","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_002_verifyReportCategories","T_002_verify Report Categories  ","Test Description : verify Report Categories"
"passed","Mon Jul 22 16:04:21 IST 2024","Mon Jul 22 16:05:45 IST 2024","83835","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_003_clickOnRunReport","T_003_click  On Run Report ","Test Description : click  On Run Report"
"passed","Mon Jul 22 16:02:10 IST 2024","Mon Jul 22 16:03:15 IST 2024","65810","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_001_goToCustomer","T_001_Login the page and go To Report Scrren ","Test Description : Login the page and go To Report Scrren "
"passed","Mon Jul 22 16:05:45 IST 2024","Mon Jul 22 16:06:59 IST 2024","74427","Surefire suite","Surefire test","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","tests.ticket_july.UnitReadingreportisntfilteringbycustomer","T_004_enterTHeCustomerSearch","T_004_enter The Customer Search ","Test Description : enter The Customer Search"
